appid,name
1371540,Spartoi Meadow
1372260,Watch Your Helmet
1372640,Candle In Darkness
1373230,Portals World
1373310,OUBEY VR - Samurai
1373770,Sea Legends
1373810,Orlando Theme Park VR - Roller Coaster and Rides
1374590,Monsterwolf
1376020,BattleMaster
1376140,CounterBlocks
1376470,Hunted
1377160,Enlightened Sentinel
1377240,Five-Finger Gunslinger
1378260,Voodoo Kid
1378390,Endurance - space action
1379120,MechNest
1379320,Anime Play Life: Unlimited
1379980,Unscripted
1381720,OUBEY VR – Reise der Monaden
1382350,The Beast of Stormy Forest
1382670,FIRE  TRUMP - Air Combat VR
1382870,World War Academy: COMMANDER 1
1382890,Mystic Midway: Rest in Pieces
1383200,Clouds of Rain
1383400,Crystal Ortha
1383920,Shattering Obsidian
1384840,XOL
1384990,魔法考核冒险
1385190,After The War
1385570,Fateholder Quest
1385690,Battletronics
1386110,Xentron Attack
1386460,Zodiakalik
1387410,Invaders
1388030,Bocce VR Simulator
1388310,Tumbled
1388910,Deadly Forest
1389190,Rear of Business
1389410,Record of Battle 3D Maiden Wars
1389510,Souls Lore
1389530,Happy Marriage Project - Starting from 9 years old -
1389540,Wesprau Senki
1389740,Accel Magician Mimi
1392750,Lost Patrol
1393220,Electrify
1393650,BlockBustersVR
1393960,Battle Command
1394410,Mysterica
1394680,Soul Catcher
1395180,Raid!
1395450,Shell Shuffle
1397040,Sanguine Melancholia
1397690,Riot At World
1397710,Operation TP
1399040,This Is Not Chess
1399480,California Games
1399760,Randomlands
1400390,The First Confrontation
1400450,Dino Eruption
1400680,Impossible Mission II
1401080,Starmind
1401360,Friendly Find
1402460,BattleStick 2
1402700,Red Falcon
1403230,Penny RPG: Shadows of the Lost - A Blood City Tale
1404350,Eden: New Dawn
1404870,Couplinked
1405670,The Forgotten Island - v1.0
1405980,"Astronomy Lab on PC: Relativity, Lunar Landing, Space Flight, and Interstellar Travelling"
1406350,Guns N Stuff
1406900,のっぺらぼう
1407530,Warrior Beneath Heaven
1408050,Our Hero! Two
1408420,Ancient Worlds: Egypt
1409250,Harmless Demons
1409520,The Worst Game Ever
1409810,月之泪 ～ Tears of Luna
1411410,Paddle Combat
1411710,Forklift & Box
1411840,Who Are You?
1411870,Zball III
1411940,Silence in the Dark
1413260,Traveler of Artcaster
1414490,Kasmo
1414710,Arc Wizards 2
1415110,Second Chance
1415200,Pitched Battle
1415480,10mg: Locked In
1415580,Heart World
1417400,Escape Dinosaur Island
1417680,Damien
1419200,Way Walkers: University 2
1422220,Cardinal Chains
1423410,Zone of Death
1423420,Sublunar
1424010,Slaves of Magic prelude
1424190,Curious Alice
1424890,天仙变
1425110,Space Empires I
1425240,Match It!
1426160,The Den of Worms
1426190,Bloody Horde
1427150,The Episodic
1427640,All-Time Battle
1429700,ARCADEON VR
1430070,Too Different
1430140,Space Empires II
1432730,911 Emergency Manager
1433040,Dragon Fury VR
1433910,Dragu's Puzzle Adventure
1434160,My Empire
1434470,RagDoll MadDoll
1434780,Tech Madness
1435230,BLACKBODY THEORY OF MOTION
1436220,XIBALBA
1436240,Krakatoa
1436280,Plan Z
1436440,Sleeper Cell
1436800,Elon's Dream
1436930,Temple of Apshai Trilogy
1438710,Modern Arena
1439550,Vagrant Sword
1440050,Объемная История
1440330,In It Together
1440810,Enthrean Radiance : Prologue
1440840,Breathing Fear
1443500,Frog's Princess
1443810,Round 99
1444700,Zen! Slider
1444740,Maniac Path
1445540,The Chronicles of Moses and the Exodus
1445890,Lithoi - Trials of Memory
1446090,PAGO FOREST: DRAGON'S REVENGE
1446180,Leak Elite
1448070,KosmoSquad
1449140,Foglight
1451860,Cyber Badminton 2020
1454030,"Lotharus - Bacon, Ale & Repeat"
1457920,VITATIO 3
1458330,Mythlands: Flappy Dragon
1460230,Javols VR
1461990,傲剑情缘
1462680,Asdivine Cross
1463030,Jump With Dragons
1464420,Tower
1464840,Monolith
1466300,Stack Defense
1466610,Combined Arms Operations Series
